GEMSTONE_MAIN_CATEGORY,GEMSTONE_SUB_CATEGORY,GEMSTONE_CLASSIFICATION,GEMSTONE_NAME
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hureaulite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hurlbutite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hydrogrossular 
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hyperitdiabas
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Idocrase
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Inderite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Iolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Jade
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Jadeite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Jasper
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Jeremejevite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Jet
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Kämmererite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Kornerupine
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Kunzite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Kurnakovite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Kyanite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Labradorite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Langbeinite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Lapiz Lazuli
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Larimar
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Laserblue
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Lawsonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Lazulite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Legrandite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Lepidolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Leucite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Linarite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Ludlamite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Magnesite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Malachite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Malaia
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Mali
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Mali 
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Mandarin 
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Manganotantalite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Marcasite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Maw-sit-sit
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Maxixe Beryl
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Meliphanite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Mellite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Mesolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Microcline
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Microlite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Milarite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Millerite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Mimetite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Moldavite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Monazite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Moonstone
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Mordenite
Gemstones,Lab-Created Semi-Precious,Lab-Created Morganite,Lab-Created Morganite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Multi-Color
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Nambulite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Natrolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Nepheline
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Nephrite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Neptunite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Niccolite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Nickeline
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Obsidian
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Oligoclase
Gemstones,Lab-Created Semi-Precious,Lab-Created Onyx,Lab-Created Onyx
Gemstones,Lab-Created Semi-Precious,Lab-Created Opal,Lab-Created Opal
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Oregon
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Oregon sunstone
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Orthoclase
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Padparadascha
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Padparadascha Sapphire
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Painite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Palygorskite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Papagoite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pargasite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Parisite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Pectolite
